0	273	281	119
6	273	275	121
12	272	273	121
17	273	274	121
23	273	274	122
29	284	286	120
34	272	276	122
40	272	274	121
47	273	274	122
52	294	275	121
58	273	287	120
64	273	274	121
69	273	274	122
75	273	274	122
81	286	283	121
87	272	276	120
93	273	273	122
99	273	274	123
105	286	274	121
110	273	274	122
116	272	275	119
122	274	273	122
128	272	284	120
134	273	274	122
140	288	279	121
146	273	277	120
151	283	275	122
157	274	273	122
163	273	274	122
168	273	274	121
175	274	293	121
181	272	275	120
187	273	274	122
192	273	279	120
198	279	275	122
204	278	297	121
209	273	274	121
216	272	274	122
222	273	274	122
228	274	274	122
233	273	274	121
239	273	276	120
245	273	275	122
250	274	292	121
257	273	275	122
263	288	280	120
269	274	281	120
274	281	275	122
280	273	274	122
286	273	274	122
291	275	274	122
297	273	287	120
304	272	274	121
310	273	273	122
315	273	278	120
321	280	274	121
327	276	297	121
332	273	274	122
338	273	274	121
345	274	274	122
351	273	273	122
356	274	274	122
362	272	276	120
368	273	274	121
373	274	289	120
379	273	274	122
386	286	283	121
392	273	278	120
397	285	274	122
403	273	275	122
409	274	274	122
414	272	274	122
420	273	279	120
427	273	274	121
433	273	274	122
438	273	275	120
444	289	277	122
450	273	280	120
455	279	276	122
461	272	274	122
467	273	274	123
474	296	275	121
479	272	274	122
485	273	274	121
491	273	274	120
496	274	281	120
502	279	276	122
508	276	297	121
515	273	275	120
520	296	274	122
526	273	274	123
532	273	275	122
537	274	273	122
543	273	276	120
549	273	274	120
556	273	274	122
561	272	275	121
567	292	275	121
573	273	282	120
578	281	275	121
584	273	274	124
590	276	274	122
596	296	275	121
602	273	274	123
608	273	274	121
614	272	274	122
619	273	277	120
625	287	274	122
631	275	298	121
637	274	275	120
643	297	274	121
649	273	274	123
655	273	275	121
660	274	273	122
666	272	276	120
672	273	274	121
678	274	274	122
684	272	275	121
690	283	288	121
696	272	276	120
701	291	276	122
707	272	274	122
713	273	275	122
719	296	275	122
724	276	274	123
731	272	274	122
737	275	274	122
742	273	276	120
748	294	274	121
754	275	293	121
760	272	275	120
765	292	275	121
772	272	274	123
778	279	274	122
783	272	274	122
789	273	275	120
795	273	274	121
801	273	274	121
806	272	274	121
813	279	293	121
819	273	276	120
824	286	274	122
830	273	274	124
836	273	274	123
842	296	275	121
847	274	275	122
854	272	274	120
860	272	275	121
865	272	276	119
871	293	276	122
877	275	294	120
883	272	274	120
888	291	276	121
894	273	274	123
901	279	274	122
906	273	274	122
912	274	275	120
918	273	274	120
924	274	274	122
929	272	274	122
935	286	284	122
942	273	276	120
947	288	274	122
953	273	273	122
959	273	274	122
965	295	275	121
970	273	274	122
976	274	274	121
983	273	274	122
988	272	276	120
994	289	275	121
1000	274	295	121
1006	272	275	120
1011	288	275	122
1017	277	296	121
1024	273	277	120
1030	274	274	121
1035	286	284	121
1041	272	274	122
1047	274	274	122
1053	293	275	121
1058	273	274	123
1064	272	274	120
1071	273	274	121
1076	276	299	121
1082	274	274	122
1088	273	273	121
1094	272	274	122
1099	273	279	120
1105	273	276	122
1112	272	273	122
1118	272	274	123
1123	274	275	121
1129	292	275	121
1135	272	274	122
1141	273	274	122
1146	273	275	121
1153	274	297	121
1159	273	277	120
1165	273	273	122
1170	280	293	121
1176	274	275	123
1182	273	274	122
1188	288	278	121
1193	274	287	120
1200	274	274	123
1206	294	274	121
1212	277	297	121
1217	274	274	122
1223	272	274	120
1229	274	274	122
1235	273	274	125
1241	273	275	121
1247	283	288	122
1253	272	277	120
1259	272	274	121
1264	288	277	121
1270	274	275	122
1276	274	275	122
1283	295	275	121
1288	273	274	122
1294	272	276	121
1300	272	274	121
1306	273	275	122
1311	272	279	119
1317	274	275	122
1324	293	276	121
1330	274	287	120
1335	273	274	122
1341	273	274	122
1347	274	274	122
1353	275	274	122
1358	273	274	120
1364	279	293	121
1371	273	280	120
1377	273	276	121
1382	294	274	121
1388	272	276	122
1394	273	274	122
1400	295	275	121
1405	273	275	122
1412	273	275	120
1418	273	274	121
1423	275	298	121
1429	272	274	123
1435	272	274	121
1441	273	275	122
1446	272	277	120
1453	276	275	122
1459	273	274	122
1465	273	274	121
1470	273	274	121
1476	290	278	121
1482	274	274	122
1488	273	274	122
1494	273	274	122
1500	275	291	121
1506	274	275	120
1512	272	274	121
1517	275	298	121
1523	273	274	122
1529	274	275	122
1536	287	279	121
1541	273	286	120
1547	274	274	122
1553	294	275	121
1559	274	292	121
1564	273	274	122
1570	274	273	121
1576	273	274	121
1583	273	274	122
1588	272	274	121
1594	286	282	121
1600	273	285	120
1606	272	275	121
1611	296	276	121
1617	273	273	122
1624	273	274	122
1630	288	275	122
1635	272	274	122
1641	273	277	121
1647	273	275	121
1653	273	274	122
1658	274	282	120
1665	273	275	122
1671	293	274	121
1677	274	291	120
1682	275	275	121
1688	272	274	121
1694	274	274	122
1700	274	274	122
1705	273	274	121
1712	288	279	121
1718	274	283	120
1724	273	274	120
1729	293	275	121
1735	273	276	122
1741	273	274	122
1747	283	275	122
1753	272	274	122
1759	273	277	120
1765	272	274	121
1770	287	281	121
1776	273	274	122
1782	272	275	120
1788	273	273	121
1794	274	288	120
1800	274	274	122
1806	273	275	121
1812	272	274	122
1817	273	275	120
1823	291	274	121
1829	273	273	122
1836	273	274	121
1841	273	274	121
1847	280	291	122
1853	275	279	121
1859	272	275	120
1864	293	275	121
1870	273	274	122
